Q	iVar	cType	cWidth
6034.9	1	0	0
9575.58	1	0	0
6821.71	1	0	0
6554.88	1	0	0
6654.41	1	0	0
5548.83	1	0	0
4889.48	1	0	0
6357.74	1	0	0
9096.06	1	0	0
4405.18	1	0	0
4889.48	1	0	0
9449.92	1	0	0
4629.36	1	0	0
5005.92	1	0	0
6423.11	1	0	0
7631.79	1	0	0
5532.98	1	0	0
5891.68	1	0	0
8042	1	0	0
6179.12	1	0	0
8479.59	1	0	0
4845.03	1	0	0
2232.88	1	0	0
5687.75	1	0	0
7317.06	1	0	0
7934.12	1	0	0
6588	1	0	0
7702.48	1	0	0
5672.19	1	0	0
7578.95	1	0	0
3465.78	1	0	0
6621.19	1	0	0
6276.23	1	0	0
6260	1	0	0
7605.35	1	0	0
4991.2	1	0	0
10145.77	1	0	0
8317.72	1	0	0
6739.59	1	0	0
4975.83	1	0	0
5281.45	1	0	0
6220.57	1	0	0
6606.11	1	0	0
5625.9	1	0	0
5703.71	1	0	0
7319.4	1	0	0
5364.78	1	0	0
4757.24	1	0	0
5734.96	1	0	0
7198.39	1	0	0
5425.74	1	0	0
5844.92	1	0	0
9874.08	1	0	0
5067.55	1	0	0
5336.58	1	0	0
7612.59	1	0	0
7736.2	1	0	0
5506.76	1	0	0
6039.4	1	0	0
8274.22	1	0	0
6576.36	1	0	0
8265.09	1	0	0
4605.04	1	0	0
4449.99	1	0	0
7778.8	1	0	0
6040.27	1	0	0
5044.01	1	0	0
5312.03	1	0	0
4155.48	1	0	0
4760	1	0	0
4995	1	0	0
5510	1	0	0
5599.91	1	0	0
6044.53	1	0	0
5198.66	1	0	0
3955.64	1	0	0
3422.9	1	0	0
8335.86	1	0	0
7608.24	1	0	0
7372.08	1	0	0
6599.97	1	0	0
4613.25	1	0	0
6076.01	1	0	0
7550.58	1	0	0
6622.03	1	0	0
5511.3	1	0	0
4607.72	1	0	0
6694.04	1	0	0
6417.88	1	0	0
6707.89	1	0	0
5307.61	1	0	0
5331.54	1	0	0
5110.89	1	0	0
5697.7	1	0	0
9057.28	1	0	0
9907.36	1	0	0
6767.75	1	0	0
8548.02	1	0	0
7791.04	1	0	0
4436.01	1	0	0
6197.21	1	0	0
7105.13	1	0	0
6825.05	1	0	0
9758.64	1	0	0
11524.12	1	0	0
5752.45	1	0	0
4221.6	1	0	0
5492.58	1	0	0
3997.28	1	0	0
6964.91	1	0	0
6612.45	1	0	0
6208.02	1	0	0
7216.48	1	0	0
5265.91	1	0	0
7142.55	1	0	0
7497.45	1	0	0
4440.66	1	0	0
8620.78	1	0	0
4601.04	1	0	0
6126.44	1	0	0
7198.48	1	0	0
4360.6	1	0	0
